1 12 #
1 12 1560.3931451612902 1076.931818181818
1 12 1709.0020161290322 1497.9545454545455
1 12 1733.7701612903224 1974.375
1 12 1750.282258064516 2428.636363636364
1 12 1808.0745967741937 3015.852272727273
1 12 1865.8669354838707 3381.477272727273
1 12 1948.4274193548385 3303.9204545454545
1 12 2006.219758064516 2705.625
1 12 1973.1955645161288 2162.727272727273
1 12 1841.0987903225805 1276.3636363636365
1 12 1709.0020161290322 1043.693181818182
1 12 1593.4173387096776 1065.8522727272725
2 15 #
2 15 1684.233870967742 1154.4886363636365
2 15 1874.1229838709678 1353.9204545454545
2 15 1898.891129032258 1852.5
2 15 2006.219758064516 2373.2386363636365
2 15 1981.4516129032259 2893.977272727273
2 15 2080.524193548387 3303.9204545454545
2 15 2154.828629032258 3569.829545454546
2 15 2303.4375 3680.625
2 15 2443.790322580645 3348.2386363636365
2 15 2534.6068548387098 2860.7386363636365
2 15 2518.094758064516 2229.2045454545455
2 15 2394.2540322580644 1774.943181818182
2 15 2179.5967741935483 1320.681818181818
2 15 1989.7076612903224 1132.3295454545455
2 15 1717.2580645161288 1132.3295454545455
3 13 #
3 13 1469.5766129032259 622.6704545454544
3 13 1543.8810483870966 866.4204545454544
3 13 1634.6975806451615 1243.125
3 13 1700.7459677419356 1763.8636363636365
3 13 1692.4899193548385 2118.409090909091
3 13 1791.5625 2461.875
3 13 1915.4032258064517 2650.227272727273
3 13 1973.1955645161288 2506.193181818182
3 13 2014.4758064516127 2007.6136363636365
3 13 1915.4032258064517 1597.6704545454545
3 13 1766.7943548387098 1121.25
3 13 1667.7217741935483 589.4318181818181
3 13 1469.5766129032259 611.5909090909091
4 16 #
4 16 1535.625 600.5113636363636
4 16 1576.905241935484 855.3409090909091
4 16 1618.1854838709678 1132.3295454545455
4 16 1659.4657258064517 1486.875
4 16 1709.0020161290322 1797.102272727273
4 16 1733.7701612903224 2195.965909090909
4 16 1766.7943548387098 2450.7954545454545
4 16 1808.0745967741937 2628.068181818182
4 16 1857.6108870967741 2749.943181818182
4 16 2030.9879032258063 2517.2727272727275
4 16 1964.9395161290322 2162.727272727273
4 16 1882.3790322580644 1664.1477272727275
4 16 1816.3306451612902 1143.409090909091
4 16 1750.282258064516 711.3068181818181
4 16 1667.7217741935483 511.8749999999999
4 16 1543.8810483870966 567.2727272727271
5 16 #
5 16 1519.1129032258063 611.5909090909091
5 16 1576.905241935484 811.0227272727271
5 16 1651.2096774193546 1143.409090909091
5 16 1692.4899193548385 1597.6704545454545
5 16 1758.5383064516127 1907.8977272727275
5 16 1849.3548387096776 2273.5227272727275
5 16 1956.6834677419356 2616.9886363636365
5 16 2030.9879032258063 2450.7954545454545
5 16 2030.9879032258063 2140.568181818182
5 16 2006.219758064516 1874.659090909091
5 16 1964.9395161290322 1509.034090909091
5 16 1890.635080645161 1132.3295454545455
5 16 1849.3548387096776 822.1022727272726
5 16 1766.7943548387098 600.5113636363636
5 16 1626.4415322580644 389.9999999999999
5 16 1527.368951612903 567.2727272727271
6 13 #
6 13 1634.6975806451615 855.3409090909091
6 13 1659.4657258064517 1132.3295454545455
6 13 1733.7701612903224 1531.193181818182
6 13 1783.306451612903 2074.090909090909
6 13 1824.5866935483868 2395.3977272727275
6 13 1857.6108870967741 2761.0227272727275
6 13 1989.7076612903224 3193.125
6 13 2064.0120967741937 3049.0909090909095
6 13 2138.3165322580644 2528.352272727273
6 13 2088.780241935484 1996.534090909091
6 13 1964.9395161290322 1365.0
6 13 1816.3306451612902 899.6590909090909
6 13 1659.4657258064517 844.2613636363636
7 14 #
7 14 1552.1370967741937 766.7045454545454
7 14 1593.4173387096776 988.2954545454544
7 14 1684.233870967742 1309.6022727272725
7 14 1709.0020161290322 1630.909090909091
7 14 1758.5383064516127 1952.215909090909
7 14 1808.0745967741937 2207.0454545454545
7 14 1841.0987903225805 2539.4318181818185
7 14 1874.1229838709678 2749.943181818182
7 14 2014.4758064516127 2694.5454545454545
7 14 2072.2681451612902 2229.2045454545455
7 14 2039.243951612903 1575.5113636363635
7 14 1915.4032258064517 1032.6136363636365
7 14 1799.8185483870966 788.8636363636364
7 14 1552.1370967741937 744.5454545454544
