1 15 #
1 15 1180.6149193548385 833.1818181818181
1 15 1263.1754032258063 1198.806818181818
1 15 1469.5766129032259 2074.090909090909
1 15 1453.0645161290322 2450.7954545454545
1 15 1543.8810483870966 3026.9318181818185
1 15 1609.9294354838707 3436.875
1 15 1692.4899193548385 3492.2727272727275
1 15 1890.635080645161 3348.2386363636365
1 15 1874.1229838709678 2938.2954545454545
1 15 1783.306451612903 2351.0795454545455
1 15 1618.1854838709678 1719.5454545454545
1 15 1576.905241935484 1198.806818181818
1 15 1510.8568548387098 921.8181818181819
1 15 1378.7600806451612 833.1818181818181
1 15 1188.8709677419354 822.1022727272726
2 14 #
2 14 1246.663306451613 1165.568181818182
2 14 1312.711693548387 1398.2386363636365
2 14 1436.5524193548385 1907.8977272727275
2 14 1436.5524193548385 2661.3068181818185
2 14 1428.296370967742 3104.4886363636365
2 14 1444.8084677419356 3403.636363636364
2 14 1527.368951612903 3525.511363636364
2 14 1601.6733870967741 3370.3977272727275
2 14 1651.2096774193546 2849.659090909091
2 14 1692.4899193548385 2362.159090909091
2 14 1684.233870967742 1797.102272727273
2 14 1651.2096774193546 1398.2386363636365
2 14 1502.6008064516127 1220.965909090909
2 14 1263.1754032258063 1121.25
3 15 #
3 15 1263.1754032258063 689.1477272727271
3 15 1387.016129032258 988.2954545454544
3 15 1395.2721774193546 1365.0
3 15 1461.3205645161288 1885.7386363636365
3 15 1395.2721774193546 2528.352272727273
3 15 1502.6008064516127 2949.375
3 15 1560.3931451612902 3536.590909090909
3 15 1684.233870967742 3835.738636363637
3 15 1775.0504032258063 3647.386363636364
3 15 1808.0745967741937 3026.9318181818185
3 15 1733.7701612903224 2373.2386363636365
3 15 1651.2096774193546 1830.340909090909
3 15 1642.953629032258 1243.125
3 15 1494.344758064516 822.1022727272726
3 15 1271.4314516129032 689.1477272727271
4 17 #
4 17 1320.967741935484 755.6249999999999
4 17 1395.2721774193546 1021.5340909090909
4 17 1411.7842741935483 1664.1477272727275
4 17 1461.3205645161288 2040.852272727273
4 17 1519.1129032258063 2916.136363636364
4 17 1395.2721774193546 3414.7159090909095
4 17 1461.3205645161288 3702.784090909091
4 17 1593.4173387096776 3747.102272727273
4 17 1799.8185483870966 3436.875
4 17 1783.306451612903 2794.261363636364
4 17 1725.5141129032259 2417.5568181818185
4 17 1692.4899193548385 2151.6477272727275
4 17 1659.4657258064517 1819.261363636364
4 17 1626.4415322580644 1453.6363636363635
4 17 1568.6491935483868 1154.4886363636365
4 17 1494.344758064516 822.1022727272726
4 17 1337.4798387096773 733.4659090909091
5 20 #
5 20 1287.9435483870968 711.3068181818181
5 20 1337.4798387096773 899.6590909090909
5 20 1378.7600806451612 1298.522727272727
5 20 1387.016129032258 1719.5454545454545
5 20 1453.0645161290322 2351.0795454545455
5 20 1444.8084677419356 2727.784090909091
5 20 1552.1370967741937 3115.568181818182
5 20 1535.625 3403.636363636364
5 20 1543.8810483870966 3669.545454545455
5 20 1601.6733870967741 3802.5
5 20 1725.5141129032259 3813.579545454546
5 20 1849.3548387096776 3636.306818181818
5 20 1874.1229838709678 3182.0454545454545
5 20 1824.5866935483868 2694.5454545454545
5 20 1758.5383064516127 2251.3636363636365
5 20 1709.0020161290322 1786.0227272727275
5 20 1634.6975806451615 1342.840909090909
5 20 1543.8810483870966 888.5795454545454
5 20 1486.0887096774195 678.0681818181819
5 20 1312.711693548387 689.1477272727271
6 16 #
6 16 1345.7358870967741 799.9431818181819
6 16 1411.7842741935483 1054.772727272727
6 16 1502.6008064516127 1797.102272727273
6 16 1486.0887096774195 2284.602272727273
6 16 1527.368951612903 2805.3409090909095
6 16 1527.368951612903 3303.9204545454545
6 16 1609.9294354838707 3647.386363636364
6 16 1742.0262096774195 3924.375
6 16 1824.5866935483868 3747.102272727273
6 16 1874.1229838709678 3215.284090909091
6 16 1890.635080645161 2761.0227272727275
6 16 1857.6108870967741 2406.477272727273
6 16 1808.0745967741937 1930.0568181818185
6 16 1700.7459677419356 1409.318181818182
6 16 1642.953629032258 988.2954545454544
6 16 1345.7358870967741 788.8636363636364
7 14 #
7 14 1353.991935483871 910.7386363636364
7 14 1428.296370967742 1243.125
7 14 1477.8326612903224 1752.784090909091
7 14 1535.625 2384.318181818182
7 14 1585.1612903225805 3038.011363636364
7 14 1576.905241935484 3558.75
7 14 1626.4415322580644 3835.738636363637
7 14 1733.7701612903224 3913.295454545455
7 14 1882.3790322580644 3647.386363636364
7 14 1890.635080645161 2960.4545454545455
7 14 1849.3548387096776 2306.761363636364
7 14 1799.8185483870966 1741.7045454545455
7 14 1659.4657258064517 1232.0454545454545
7 14 1370.5040322580644 910.7386363636364
8 15 #
8 15 1271.4314516129032 733.4659090909091
8 15 1345.7358870967741 1021.5340909090909
8 15 1428.296370967742 1431.4772727272725
8 15 1444.8084677419356 1841.4204545454545
8 15 1444.8084677419356 2218.125
8 15 1486.0887096774195 2816.4204545454545
8 15 1477.8326612903224 3326.0795454545455
8 15 1535.625 3603.068181818182
8 15 1659.4657258064517 3403.636363636364
8 15 1684.233870967742 3026.9318181818185
8 15 1667.7217741935483 2517.2727272727275
8 15 1659.4657258064517 2118.409090909091
8 15 1626.4415322580644 1786.0227272727275
8 15 1568.6491935483868 1220.965909090909
8 15 1296.1995967741934 678.0681818181819
9 23 #
9 23 1791.532258064516 147.7272727272728
9 23 1875.0 212.66233766233773
9 23 1958.467741935484 301.94805194805195
9 23 2005.6451612903227 415.5844155844157
9 23 2049.1935483870966 610.3896103896104
9 23 2092.741935483871 1040.5844155844156
9 23 2110.8870967741937 1454.5454545454547
9 23 2110.8870967741937 1868.5064935064936
9 23 2139.9193548387098 2063.3116883116886
9 23 2288.709677419355 2103.8961038961043
9 23 2346.7741935483873 2030.8441558441561
9 23 2379.435483870968 1836.0389610389614
9 23 2379.435483870968 1543.831168831169
9 23 2379.435483870968 1308.4415584415585
9 23 2379.435483870968 1121.753246753247
9 23 2350.4032258064517 772.7272727272727
9 23 2299.5967741935483 594.1558441558443
9 23 2266.935483870968 488.6363636363637
9 23 2194.3548387096776 399.35064935064946
9 23 2089.112903225807 310.0649350649351
9 23 1951.2096774193549 204.54545454545456
9 23 1820.5645161290322 90.90909090909093
9 23 1791.532258064516 131.49350649350657
10 27 #
10 27 1867.741935483871 172.0779220779221
10 27 1980.241935483871 253.24675324675326
10 27 2074.5967741935483 383.11688311688323
10 27 2165.322580645161 569.8051948051948
10 27 2194.3548387096776 845.7792207792209
10 27 2237.9032258064517 1267.857142857143
10 27 2252.4193548387098 1673.7012987012988
10 27 2263.3064516129034 2176.9480519480526
10 27 2259.677419354839 2599.0259740259744
10 27 2259.677419354839 2842.532467532468
10 27 2299.5967741935483 2891.233766233767
10 27 2401.209677419355 2899.3506493506497
10 27 2466.532258064516 2899.3506493506497
10 27 2473.790322580645 2688.311688311689
10 27 2481.048387096774 2493.506493506494
10 27 2484.677419354839 2225.649350649351
10 27 2484.677419354839 1965.9090909090912
10 27 2488.3064516129034 1746.7532467532471
10 27 2488.3064516129034 1446.4285714285716
10 27 2477.4193548387098 1170.4545454545455
10 27 2441.1290322580644 853.896103896104
10 27 2354.032258064516 561.6883116883118
10 27 2270.564516129032 456.1688311688312
10 27 2183.467741935484 318.1818181818182
10 27 2049.1935483870966 237.01298701298703
10 27 1918.5483870967741 131.49350649350657
10 27 1871.3709677419356 180.19480519480527
11 27 #
11 27 1758.8709677419356 115.25974025974034
11 27 1845.967741935484 180.19480519480527
11 27 1936.6935483870968 261.36363636363643
11 27 2038.3064516129032 431.8181818181819
11 27 2132.6612903225805 699.6753246753246
11 27 2132.6612903225805 918.831168831169
11 27 2132.6612903225805 1219.1558441558443
11 27 2132.6612903225805 1535.7142857142858
11 27 2132.6612903225805 1803.5714285714287
11 27 2132.6612903225805 2095.7792207792213
11 27 2143.548387096774 2461.0389610389616
11 27 2245.1612903225805 2566.558441558442
11 27 2364.9193548387098 2534.0909090909095
11 27 2368.548387096774 2290.584415584416
11 27 2368.548387096774 2038.961038961039
11 27 2368.548387096774 1730.5194805194808
11 27 2372.177419354839 1454.5454545454547
11 27 2375.8064516129034 1202.922077922078
11 27 2375.8064516129034 983.7662337662339
11 27 2368.548387096774 699.6753246753246
11 27 2346.7741935483873 504.8701298701299
11 27 2270.564516129032 431.8181818181819
11 27 2165.322580645161 350.64935064935077
11 27 2060.0806451612902 237.01298701298703
11 27 1962.0967741935485 196.4285714285715
11 27 1845.967741935484 115.25974025974034
11 27 1766.1290322580644 107.14285714285717
12 25 #
12 25 1791.532258064516 139.61038961038963
12 25 1871.3709677419356 220.7792207792208
12 25 1954.8387096774193 310.0649350649351
12 25 2074.5967741935483 480.5194805194806
12 25 2129.032258064516 732.1428571428571
12 25 2165.322580645161 1113.6363636363637
12 25 2176.209677419355 1527.5974025974028
12 25 2172.5806451612902 1909.0909090909092
12 25 2172.5806451612902 2176.9480519480526
12 25 2197.983870967742 2371.7532467532474
12 25 2303.2258064516127 2452.9220779220786
12 25 2390.322580645161 2444.8051948051952
12 25 2419.354838709677 2258.1168831168834
12 25 2419.354838709677 1949.6753246753249
